index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
196,192000,192.000,CFG_TOTAL_WRITE_READ,96,8,0,1,0,0xAA,0,0x06,WRITE_CFG_TOTAL
197,193000,193.000,CFG_TOTAL_WRITE_READ,97,9,1,1,0,0xAA,0,0x07,WRITE_CFG_TOTAL
198,194000,194.000,CFG_TOTAL_WRITE_READ,97,9,0,1,0,0x55,0,0x07,WRITE_CFG_TOTAL
199,195000,195.000,CFG_TOTAL_WRITE_READ,98,10,1,1,0,0x55,0,0x08,WRITE_CFG_TOTAL
200,196000,196.000,CFG_TOTAL_WRITE_READ,98,10,0,1,0,0xAA,0,0x08,WRITE_CFG_TOTAL
201,197000,197.000,CFG_TOTAL_WRITE_READ,99,11,1,1,0,0xAA,0,0x09,WRITE_CFG_TOTAL
202,198000,198.000,CFG_TOTAL_WRITE_READ,99,11,0,1,0,0x55,0,0x09,WRITE_CFG_TOTAL
203,199000,199.000,CFG_TOTAL_WRITE_READ,100,12,1,1,0,0x55,0,0x0A,WRITE_CFG_TOTAL
204,200000,200.000,CFG_TOTAL_WRITE_READ,100,12,0,1,0,0xAA,0,0x0A,WRITE_CFG_TOTAL
205,201000,201.000,CFG_TOTAL_WRITE_READ,101,13,1,1,0,0xAA,0,0x0B,WRITE_CFG_TOTAL
206,202000,202.000,CFG_TOTAL_WRITE_READ,101,13,0,1,0,0x55,0,0x0B,WRITE_CFG_TOTAL
207,203000,203.000,CFG_TOTAL_WRITE_READ,102,14,1,1,0,0x55,0,0x0C,WRITE_CFG_TOTAL
208,204000,204.000,CFG_TOTAL_WRITE_READ,102,14,0,1,0,0xAA,0,0x0C,WRITE_CFG_TOTAL
209,205000,205.000,CFG_TOTAL_WRITE_READ,103,15,1,1,0,0xAA,0,0x0D,WRITE_CFG_TOTAL
210,206000,206.000,CFG_TOTAL_WRITE_READ,103,15,0,1,0,0x55,0,0x0D,WRITE_CFG_TOTAL
211,207000,207.000,CFG_TOTAL_WRITE_READ,104,16,1,1,0,0x55,0,0x0E,WRITE_CFG_TOTAL
212,208000,208.000,CFG_TOTAL_WRITE_READ,104,16,0,1,0,0xAA,0,0x0E,WRITE_CFG_TOTAL
213,209000,209.000,CFG_TOTAL_WRITE_READ,105,17,1,1,0,0xAA,0,0x0F,WRITE_CFG_TOTAL
214,210000,210.000,CFG_TOTAL_WRITE_READ,105,17,0,1,0,0x55,0,0x0F,WRITE_CFG_TOTAL
215,211000,211.000,CFG_TOTAL_WRITE_READ,106,18,1,1,0,0x55,0,0x10,WRITE_CFG_TOTAL
216,212000,212.000,CFG_TOTAL_WRITE_READ,106,18,0,1,0,0xAA,0,0x10,WRITE_CFG_TOTAL
217,213000,213.000,CFG_TOTAL_WRITE_READ,107,19,1,1,0,0xAA,0,0x11,WRITE_CFG_TOTAL
218,214000,214.000,CFG_TOTAL_WRITE_READ,107,19,0,1,0,0x55,0,0x11,WRITE_CFG_TOTAL
219,215000,215.000,CFG_TOTAL_WRITE_READ,108,20,1,1,0,0x55,0,0x12,WRITE_CFG_TOTAL
220,216000,216.000,CFG_TOTAL_WRITE_READ,108,20,0,1,0,0xAA,0,0x12,WRITE_CFG_TOTAL
221,217000,217.000,CFG_TOTAL_WRITE_READ,109,21,1,1,0,0xAA,0,0x13,WRITE_CFG_TOTAL
222,218000,218.000,CFG_TOTAL_WRITE_READ,109,21,0,1,0,0x55,0,0x13,WRITE_CFG_TOTAL
223,219000,219.000,CFG_TOTAL_WRITE_READ,110,22,1,1,0,0x55,0,0x14,WRITE_CFG_TOTAL
224,220000,220.000,CFG_TOTAL_WRITE_READ,110,22,0,1,0,0xAA,0,0x14,WRITE_CFG_TOTAL
225,221000,221.000,CFG_TOTAL_WRITE_READ,111,23,1,1,0,0xAA,0,0x15,WRITE_CFG_TOTAL
226,222000,222.000,CFG_TOTAL_WRITE_READ,111,23,0,1,0,0x55,0,0x15,WRITE_CFG_TOTAL
227,223000,223.000,CFG_TOTAL_WRITE_READ,112,24,1,1,0,0x55,0,0x16,WRITE_CFG_TOTAL
228,224000,224.000,CFG_TOTAL_WRITE_READ,112,24,0,1,0,0xAA,0,0x16,WRITE_CFG_TOTAL
229,225000,225.000,CFG_TOTAL_WRITE_READ,113,25,1,1,0,0xAA,0,0x17,WRITE_CFG_TOTAL
230,226000,226.000,CFG_TOTAL_WRITE_READ,113,25,0,1,0,0x55,0,0x17,WRITE_CFG_TOTAL
231,227000,227.000,CFG_TOTAL_WRITE_READ,114,26,1,1,0,0x55,0,0x18,WRITE_CFG_TOTAL
